input string, place, country, latitude, longitude, count
"2015: bahrain 2029: mars","","",,,1
"202 east pratt street","","",,,1
"21.521586,39.166619","","",21.521586,39.166619,1
"213 city road cardiff","","",,,1
"2199 prospect road","","",,,1
"221b baker st, tenerife","","",,,1
"221b baker st.","","",,,1
"221b baker street, district 12","","",,,1
"221baker street, bikini bottom","","",,,1
"23","","",,,1
"25.006666,55.157368","","",25.006666,55.157368,1
"255.255.255.0","","",,,1
"26 countries & territories","","",,,1
"26 hillsdon road, taringa","","",,,1
"28 liberty, new york city","","",,,1
"29 forbes reef road, pretoria","","",,,1
"29 heerengracht st cape town","","",,,2
"3.13å¡n101.7å¡e malaysia","","",,,1
"3/5 // california","","",,,1
"34.180n 118.308w","","",,,1
"36005","","",,,1
"37.4482603,127.1556502","","",37.4482603,127.1556502,1
"37.646581,-121.896884","","",37.646581,-121.896884,1
"38 hillmount road, markham","","",,,1
"3rd planet from the sun","","",,,1
"3rd rock","","",,,1
"3rd rock from the sun","","",,,1
"40.7570013,-73.989215","","",40.7570013,-73.989215,1
"400+ around the world!","","",,,1
"403-320 w.creek dr chestermere","","",,,1
"41.8369å¡ n, 87.6847å¡ w","","",,,1
"41.887594,12.400043","","",41.887594,12.400043,1
"41854","","",,,1
"42 wallaby way, sydney","","",,,1
"43.142120, 12.203903","","",43.14212,12.203903,1
"43.7083577, -79.3897062","","",43.7083577,-79.3897062,1
"43.846532,-79.283183","","",43.846532,-79.283183,1
"4453 main st, vancouver","","",,,1
"48.426246,-123.364705","","",48.426246,-123.364705,1
"5 in san antonio + delivery","","",,,1
"5/6 of the catfish squad","","",,,1
"502","","",,,3
"51.472914 -0.147961","","",,,2
"51å¡30‰Û?26‰Û?åÊ0å¡7‰Û?39‰Û?","","",,,1
"52 n 106 w treaty 6 #yxe","","",,,1
"53 heath road","","",,,1
"55221","","",,,2
"584 mdpl dngn shu mksimum 29å¡c","","",,,2
"5929 48 ave, red deer","","",,,1
"6'lu-11'ls, 95'bt-141'bt","","",,,1
"60186","","",,,1
"60cm dari layar","","",,,1
"62","","",,,4
"6221","","",,,3
"62254","","",,,1
"62341","","",,,1
"65","","",,,1
"675 w hastings, vancouver","","",,,1
"68000","","",,,1
"7 kingdoms","","",,,1
"7.2653å¡ s, 112.7425å¡ e","","",,,1
"70 db","","",,,1
"70+ countries","","",,,1
"71 999 17","","",,,1
"7å¡4'36n 125å¡30'26e","","",,,1
"7å¡7'41s 110å¡55'31e","","",,,1
"8-st.john","","",,,1
"80 king st, st. catharines, on","","",,,1
"83 symonds st, auckland, nz","","",,,1
"8603 s dixie hwy. suite 301","","",,,1
"87 avenue road, toronto, on","","",,,1
"910","","",,,1
":dndonesia","","",,,1
"??.?¢????„Å??","","",,,1
"?????À?µ?????¡???µ??","","",,,1
"??¡Œ¨ÀŒÎ?è´À??¡Œ¨À6?üÅç?¨6ç¥»2Œèá ‹ÄÕ‹ÄÇ‹Äö‹Ä??ù±??Â","","",,,1
"??„Ä„Û???¡??, ?Ê??„Å„Å?ü„è","","",,,1
"??„Î??„???","","",,,1
"?±Ù?öü(ŒÏÙ??ê‹Å¨èÁÛ‹âÕ‹Å?‹Åè?Ç÷çÙ´Œ¨?)","","",,,1
"?÷???«?????µ?á?ü„è","","",,,1
"?Ï??„Å?????¡","","",,,1
"@alfaisaluni | pale blue dot !","","",,,1
"@asi @nasa @esa @eso @csa &...","","",,,1
"@bemfkgui","","",,,1
"@bsd_ltd west & north yorks","","",,,1
"@johnlundin, editor","","",,,1
"@legacy2014scot","","",,,1
"@mengonimarco's voice","","",,,1
"@paladinsecurity","","",,,1
"@sar_unhas","","",,,1
"@standupindo_smi","","",,,1
"@toronto","toronto","canada",43.70011,-79.4163,1
"[brasil] since 08/06/2014","","",,,1
"[g]angster's [p]aradise","","",,,1
"[mathematics] stockholm,sweden","sweden","sweden",60.128161,18.643501,1
"[she/her]","","",,,1
"a beautiful place called earth","","",,,1
"a beautiful, tropical country","","",,,1
"a few miles west of crazy","","",,,1
"a flowing river in our mind.","","",,,1
"a muslim arab woman ‰ªÁ‰ªÁ kuwait","","",,,1
"a place for my head","","",,,1
"a tiny space in your memory","","",,,1
"a town called malice.","","",,,1
"a town in, oregon","","",,,1
"a world of endless wonder.","","",,,1
"aarde","","",,,1
"abbottabad kpk","abbottabad","pakistan",34.14685,73.21449,1
"aberdeen","aberdeen","united states",46.97537,-123.81572,1
"aberdeen, scotland","aberdeen","united states",46.97537,-123.81572,1
"aberdeenshire","aberdeen","united states",46.97537,-123.81572,1
"aberystwyth","aberystwyth","united kingdom",52.41548,-4.08292,1
"abingdon, va","abingdon","united kingdom",51.67109,-1.28278,1
"above us only sky","","",,,1
"abu dhabi","abu dhabi","united arab emirates",24.46667,54.36667,1
"abu dhabi - ¯£¯¬ôö¯ü¯¬ô?","abu dhabi","united arab emirates",24.46667,54.36667,1
"abu dhabi / bangalore","abu dhabi","united arab emirates",24.46667,54.36667,1
"abu dhabi uae","abu dhabi","united arab emirates",24.46667,54.36667,1
"abu dhabi | al ain | london","abu dhabi","united arab emirates",24.46667,54.36667,1
"abu dhabi, u.a.e.","abu dhabi","united arab emirates",24.46667,54.36667,1
"abu dhabi, uae","abu dhabi","united arab emirates",24.46667,54.36667,1
"abuja","abuja","nigeria",9.05785,7.49508,1
"acapulco, mexico","acapulco de juarez","mexico",16.86336,-99.8901,1
"aceh, indonesia","indonesia","indonesia",-0.789275,113.921327,1
"acq tower, makati, philippines","philippines","philippines",12.879721,121.774017,1
"across canada","","",,,1
"across canada, to/from usa","","",,,1
"across pakistan","","",,,1
"across paris & nyc","","",,,1
"acton, on","acton","united states",42.48509,-71.43284,1
"acton, on, canada","acton","united states",42.48509,-71.43284,1
"ad - uae","","",,,1
"ad doha, qatar","qatar","qatar",25.354826,51.183884,1
"adb hq, manila","","",,,1
"addis ababa, munich, new york","addis ababa","ethiopia",9.02497,38.74689,1
"adducity,maldives","maldives","maldives",3.202778,73.22068,1
"adelaide south australia","adelaide hills","australia",-34.91119,138.70735,1
"adelaide's seaside destination","adelaide","australia",-34.92866,138.59863,1
"adelaide, australia","adelaide","australia",-34.92866,138.59863,1
"adelaide, s.a.","adelaide","australia",-34.92866,138.59863,1
"adelaide, south australia","adelaide","australia",-34.92866,138.59863,1
"adm. publik fia ub '14","","",,,1
"adonis, zouk mosbeh, lebanon","adoni","india",15.62509,77.27536,1
"africa","arica","chile",-18.4746,-70.29792,2
"africa and south asia","","",,,1
"africa | asia | europe | mena","","",,,1
"afu rampur chitwan","","",,,1
"agon nepal","","",,,1
"agrabah!","","",,,1
"aguadulce (almerÌ?a)","aguadulce","panama",8.25,-80.55,1
"ahmedabad","ahmedabad","india",23.02579,72.58727,1
"ahmedabad :)","ahmedabad","india",23.02579,72.58727,1
"ahmedabad, gujarat, india","ahmedabad","india",23.02579,72.58727,1
"aichi japan","","",,,1
"aiesec expansion ipb","","",,,1
"aj jakarta-tu berlin","","",,,1
"ajax, ontario","ajax","canada",43.85012,-79.03288,1
"ajax, ontario (75 bayly st w)","ajax","canada",43.85012,-79.03288,1
"ajibarang - purwokerto","","",,,1
"akademi telekomunikasi bogor","","",,,1
"akkrum","","",,,1
"akron/cleveland","","",,,1
"al qashlah st. dhahran, ksa","","",,,1
"al riffa, bahrain","bahrain","bahrain",25.930414,50.637772,1
"alabang, muntinlupa city, mm","","",,,1
"alain ..971502036921","","",,,1
"alam halusinasi","","",,,1
"alam indonesia","","",,,1
"alameda, ca","alameda","united states",37.76521,-122.24164,1
"albany, ny","albany","united states",44.63651,-123.10593,1
"alberta","albert lea","united states",43.64801,-93.36827,1
"alberta canada","","",,,1
"alberta canada.","","",,,1
"alberta, canada","albert lea","united states",43.64801,-93.36827,1
"alberta,canada","albert lea","united states",43.64801,-93.36827,1
"albuquerque, nm","albuquerque","united states",35.08449,-106.65114,1
"alex, va","","",,,1
"alexandria, egypt","alexandria","united states",31.31129,-92.44514,1
"alger","algeria","algeria",28.033886,1.659626,1
"alghero - sardinia - italy","","",,,1
"algÌ©rie","","",,,1
"alingsÌ´s, sweden","alingsas","sweden",57.93033,12.53345,1
"all around africa","","",,,1
"all around the world","","",,,1
"all around you","","",,,1
"all creatures great and small","","",,,1
"all over the place","","",,,1
"all over the uk","","",,,1
"all over the world !","","",,,1
"all world","","",,,1
"almere","almere stad","netherlands",52.37025,5.21413,1
"alserkal avenue, dubai, uae","","",,,1
"also: ptv, utw, spk, a7x, bmth","","",,,1
"always connect","","",,,1
"always on pererration","","",,,1
"ambon","ambon","indonesia",-3.69543,128.18141,1
"america, asia, africa, europe","americana","brazil",-22.73917,-47.33139,1
"american southwest","american samoa","american samoa",-14.270972,-170.132217,1
"amersfoort","amersfoort","netherlands",52.155,5.3875,1
"amersfoort, the netherlands","amersfoort","netherlands",52.155,5.3875,1
"ames, ia","ames","united states",42.03471,-93.61994,1
"amman","amman","jordan",31.95522,35.94503,1
"amman - jordan","","",,,1
"amman, jordan","amman","jordan",31.95522,35.94503,2
"amman,jordan","amman","jordan",31.95522,35.94503,1
"amo a mi panamÌÅ","","",,,1
"ampang,selangor.malaysia","sampang","indonesia",-7.1872,113.2394,1
"amravati","amravati","india",20.93333,77.75,1
"amritsar","amritsar","india",31.63661,74.87476,1
"amsterdam","amsterdam","united states",42.93869,-74.18819,1
"amsterdam & los angeles","amsterdam","united states",42.93869,-74.18819,1
"amsterdam - nederland","amsterdam","united states",42.93869,-74.18819,1
"amsterdam nl","amsterdam","united states",42.93869,-74.18819,1
"amsterdam zuidas","amsterdam-zuidoost","netherlands",52.3075,4.97222,1
"amsterdam, the netherlands","amsterdam","united states",42.93869,-74.18819,1
"an hour from london","","",,,1
"an island","","",,,1
"anarres","","",,,1
"ancona, italy","ancona","italy",43.5942,13.50337,1
"and there","","",,,1
"andalucÌ?a.","andalucia","colombia",4.17061,-76.16641,1
"andrimartin97@gmail.com","","",,,1
"aneurin barnard world‰ª´‰ù?","","",,,1
"anglican communion office","","",,,1
"ankara","ankara","turkey",39.91987,32.85427,1
"ann arbor","ann arbor","united states",42.27756,-83.74088,1
"annapolis, md","annapolis","united states",38.97845,-76.49218,1
"anonymous","","",,,1
"anothers planet with bangtan","","",,,1
"antalya & €¡stanbul","antalya","turkey",36.90812,30.69556,1
"antarctica","antarctica","antarctica",-75.250973,-0.071389,1
"antigua guatemala ‰Û¢ panajachel","antigua guatemala","guatemala",14.56111,-90.73444,1
"antigua, west indies","antigua guatemala","guatemala",14.56111,-90.73444,1
"antofagasta","antofagasta","chile",-23.65236,-70.3954,1
"antony","antony","france",48.75,2.3,1
"anversa degli abruzzi","","",,,1
"anywhere & everywhere","","",,,1
"anywhere else..","","",,,1
"anywhere i'm happy!","","",,,1
"anywhere of ecuador","","",,,1
"anywhere you need clean power","","",,,1
"anywhere! anytime!","","",,,1
"anywhere, and everywhere","","",,,1
"anywhere.","","",,,1
"anywhere. everywhere.","","",,,1
"aotearoa","","",,,1
"aotearoa new zealand","","",,,1
"apeldoorn, the netherlands","apeldoorn","netherlands",52.21,5.96944,1
"aplacedownsouthcalledtexas","","",,,1
"arab states","","",,,1
"arana hills","","",,,1
"arcachon","","",,,1
"architect from essen, germany","germany","germany",51.165691,10.451526,1
"area88","","",,,1
"areacode 876","","",,,1
"arequipa","arequipa","peru",-16.39889,-71.535,1
"arg","","",,,1
"argentina","argentina","argentina",-38.416097,-63.616672,2
"argentina bitch","argentina","argentina",-38.416097,-63.616672,1
"argentina, buenos aires","argentan","france",48.75,-0.01667,1
"argentina‰ª´amÌ©rica del sur‰ª´","argentina","argentina",-38.416097,-63.616672,1
"arguineguin, gran canaria","","",,,1
"arizona","","",,,1
"arizona usa","","",,,1
"arkansas","","",,,1
"arkansas usa","","",,,1
"arkham asylum","","",,,1
"arlington baths, glasgow","arlington heights","united states",42.08836,-87.98063,1
"arlington heights, il","arlington heights","united states",42.08836,-87.98063,1
"arlington, va","arlington","united states",48.19871,-122.12514,1
"arlington, va | new york, ny","arlington","united states",48.19871,-122.12514,1
"arlington, va.","arlington","united states",48.19871,-122.12514,1
"arlington, virginia","arlington","united states",48.19871,-122.12514,1
"armenia","armenia","armenia",40.069099,45.038189,1
"armenia/ artsakh/ stepanakert","","",,,1
"armpit of america, idaho (usa)","","",,,1
"arnhem","arnhem","netherlands",51.98,5.91111,2
"arnhem, the netherlands","arnhem","netherlands",51.98,5.91111,1
"around the citylights","","",,,1
"around the gta","","",,,1
"around the world","","",,,1
"arrakis","arras","france",50.29301,2.78186,1
"artmosfer","","",,,1
"aruba","aruba","aruba",12.52111,-69.968338,2
"arzona","arzano","italy",40.91353,14.26741,1
"asbury park, nj","asbury park","united states",40.22039,-74.01208,1
"asean","asan","south korea",36.78361,127.00417,1
"asgard, singapore, london","","",,,1
"ashburn, va","ashburton","new zealand",-43.89834,171.73011,1
"asheville nc","asheville","united states",35.60095,-82.55402,1
"ashland, or, usa","ashland","united states",42.19458,-122.70948,1
"asian","asia","philippines",9.5506,122.5164,1
"askim, tel: 0770 - 777 600","","",,,1
"asli jakarta, rumah di depok","","",,,1
"asse catanzaro-pisa","","",,,1
"assembly hall, jcc, jakarta","","",,,1
"asteroid b-612","","",,,1
"asti","asti","italy",44.90162,8.20751,1
"aston triangle, birmingham, uk","","",,,1
"astro radio","","",,,1
"asunciÌ?n - paraguay","","",,,1
"at home.","","",,,1
"at my macbook pro","","",,,1
"at sa puso mo","","",,,1
"at the bright side","","",,,1
"at the end of the world","","",,,1
"at the grove","","",,,1
"at the royal highness's court!","","",,,1
"atasehir - istanbul","atasehir","turkey",40.9833,29.1167,1
"atatÌÏrk€¡ye","","",,,1
"ateneo","","",,,1
"athens","athens","united states",39.32924,-82.10126,1
"athens, gr","athens","united states",39.32924,-82.10126,1
"athens, greece","athens","united states",39.32924,-82.10126,2
"athens,strasbourg","athens","united states",39.32924,-82.10126,1
"athens. greece","","",,,1
"atlanta","atlanta","united states",33.749,-84.38798,1
"atlanta via nashville","atlanta","united states",33.749,-84.38798,1
"atlanta, ga","atlanta","united states",33.749,-84.38798,1
"atlanta, ga and dfw, tx","atlanta","united states",33.749,-84.38798,1
"atlanta, ga, usa","atlanta","united states",33.749,-84.38798,1
"atlanta, ga.","atlanta","united states",33.749,-84.38798,1
"atlanta, georgia","atlanta","united states",33.749,-84.38798,1
"atlantic beach, florida, usa","atlantic city","united states",39.36428,-74.42293,1
"atlantic canada","atlantic city","united states",39.36428,-74.42293,1
"atlantic county, new jersey","atlantic city","united states",39.36428,-74.42293,1
"atx","","",,,1
"au vert","","",,,1
"auckland, new zealand","auckland","new zealand",-36.86667,174.76667,1
"auf der welt","","",,,1
"august13th2011","","",,,1
"aurora kecil","aurora","united states",39.72943,-104.83192,1
"aurora, il","aurora","united states",39.72943,-104.83192,1
"aurora, ontario","aurora","united states",39.72943,-104.83192,1
"aurora, ontario, canada","aurora","united states",39.72943,-104.83192,1
"aus","ausa","india",18.24728,76.4993,1
"aus - phl","","",,,1
"austin texas","austin","united states",43.66663,-92.97464,1
"austin tx","austin","united states",43.66663,-92.97464,1
"austin, texas","austin","united states",43.66663,-92.97464,1
"austin, texas, usa","austin","united states",43.66663,-92.97464,1
"austin, tx","austin","united states",43.66663,-92.97464,1
"austn, tx","austin","united states",43.66663,-92.97464,1
"australia","australia","australia",-25.274398,133.775136,2
"australia (canberra)","australia","australia",-25.274398,133.775136,1
"australia / international","australia","australia",-25.274398,133.775136,1
"australia / uk","australia","australia",-25.274398,133.775136,1
"australia and new zealand","australia","australia",-25.274398,133.775136,1
"austria","austria","austria",47.516231,14.550072,1
"austria, canada, universe","","",,,1
"avenue louise 65","","",,,1
"avondale, pa","avondale","united states",33.4356,-112.3496,1
"ayala alabang","","",,,1
"aylesbury","aylesbury","united kingdom",51.81665,-0.81458,1
"aylesbury, bucks","aylesbury","united kingdom",51.81665,-0.81458,1
"b'one, sabah","","",,,1
"b1a4, bts, ikon ‰ªÁ","","",,,1
"baarn","baarn","netherlands",52.21167,5.2875,1
"baba","babai","india",22.70256,77.93494,1
"babylone","","",,,1
"bad homburg v. d. h.","bad homburg vor der hoehe","germany",50.22683,8.61816,1
"badung,bali","","",,,1
"bagan serai - jeli","bagan serai","malaysia",5.0108,100.54101,1
"baghdad - iraq","baghdad","iraq",33.34058,44.40088,1
"bagian humas balaikota bogor","","",,,1
"baguio city","baguio","philippines",16.41639,120.59306,1
"baguio city, philippines","baguio","philippines",16.41639,120.59306,1
"bahrain","bahrain","bahrain",25.930414,50.637772,1
"bainbridge island, wa","bainbridge island","united states",47.62621,-122.52124,1
"bainbridge, ga","bainbridge island","united states",47.62621,-122.52124,1
"baires - argentina","","",,,1
"bajor","","",,,1
"bakersfield, california","bakersfield","united states",35.37329,-119.01871,1
"baku","baku","azerbaijan",40.37767,49.89201,1
"baku, azerbaijan","baku","azerbaijan",40.37767,49.89201,1
"bali","bali","india",25.19725,73.29117,1
"bali - jogjakardah","","",,,1
"bali - seminyak","","",,,1
"bali, indonesia","bali","india",25.19725,73.29117,1
"bali-jakarta-bali","","",,,1
"bali-yogyakarta, indonesia","indonesia","indonesia",-0.789275,113.921327,1
"balikpapan","balikpapan","indonesia",-1.26753,116.82887,1
"balikpapan & kalimantan timur","balikpapan","indonesia",-1.26753,116.82887,1
"balikpapan city, indonesia","balikpapan","indonesia",-1.26753,116.82887,1
"balikpapan, indonesia","balikpapan","indonesia",-1.26753,116.82887,1
"balikpapan,indonesia","balikpapan","indonesia",-1.26753,116.82887,1
"ballarat","ballarat","australia",-37.56622,143.84957,1
"baltimore","baltimore","united states",39.29038,-76.61219,1
"baltimore md","baltimore","united states",39.29038,-76.61219,1
"baltimore orioles in taiwan","baltimore","united states",39.29038,-76.61219,1
"baltimore, maryland","baltimore","united states",39.29038,-76.61219,1
"baltimore, md","baltimore","united states",39.29038,-76.61219,1
"baltimore, md, usa","baltimore","united states",39.29038,-76.61219,1
"banda aceh","banda aceh","indonesia",5.5577,95.3222,1
"banda aceh - tangerang","banda aceh","indonesia",5.5577,95.3222,1
"banda aceh,indonesia","banda aceh","indonesia",5.5577,95.3222,1
"banda aceh. indonesia","banda aceh","indonesia",5.5577,95.3222,1
"bandaaceh-bogor-jakarta-bekasi","","",,,1
"bandar lampung","bandarlampung","indonesia",-5.42544,105.25803,2
"bandar lampung - solo","bandar labuan","malaysia",5.28883,115.26924,1
"bandar lampung, indonesia","bandarlampung","indonesia",-5.42544,105.25803,1
"bandoeng","","",,,1
"bandung","bandung","indonesia",-6.90389,107.61861,2
"bandung - jakarta","bandung","indonesia",-6.90389,107.61861,1
"bandung - lempuing oki","bandung","indonesia",-6.90389,107.61861,1
"bandung - palu (943miles)","","",,,1
"bandung - yogyakarta","bandung","indonesia",-6.90389,107.61861,1
"bandung indonesia","bandung","indonesia",-6.90389,107.61861,1
"bandung jogja","bandung","indonesia",-6.90389,107.61861,1
"bandung, id","bandung","indonesia",-6.90389,107.61861,1
"bandung, indonesia","bandung","indonesia",-6.90389,107.61861,2
"bandung, indonesian","bandung","indonesia",-6.90389,107.61861,1
"bandung, jawa barat","bandung","indonesia",-6.90389,107.61861,1
"bandung, jawa barat.","bandung","indonesia",-6.90389,107.61861,1
"bandung, sukajadi","bandung","indonesia",-6.90389,107.61861,1
"bandung, tangerang","bandung","indonesia",-6.90389,107.61861,1
"bandung, west java","bandung","indonesia",-6.90389,107.61861,1
"bandung, west java, indonesia","bandung","indonesia",-6.90389,107.61861,1
"bandung,indonesia","bandung","indonesia",-6.90389,107.61861,1
"bandung-bogor","bandung","indonesia",-6.90389,107.61861,1
"bandung-indonesia","bandung","indonesia",-6.90389,107.61861,1
"bandung-west java-indonesia","","",,,1
"bandung=samarinda","bandung","indonesia",-6.90389,107.61861,1
"bangalore","bangalore","india",12.97194,77.59369,1
"bangalore/mumbai,india","bangalore","india",12.97194,77.59369,1
"bangkok","bangkok","thailand",13.75398,100.50144,1
"bangkok, thailand","bangkok","thailand",13.75398,100.50144,1
"bangkok, thailand, earth","bangkok","thailand",13.75398,100.50144,1
"bangkok,chainat. thailand","bangkok","thailand",13.75398,100.50144,1
"bangladesh","bangladesh","bangladesh",23.684994,90.356331,1
"bangsar","banga","philippines",6.42389,124.77833,1
"banjaran - bandung","banjaran","indonesia",-7.04528,107.58778,1
"banjarbaru, south borneo, ina","banjar","indonesia",-7.1955,107.4313,1
"banjarbaru-surabaya-jogjakarta","","",,,1
"banjarmasin (south borneo) ind","banjarmasin","indonesia",-3.31987,114.59075,1
"banjarmasin - pelaihari, id","banjarmasin","indonesia",-3.31987,114.59075,1
"banjarmasin, indonesia","banjarmasin","indonesia",-3.31987,114.59075,1
"banjarmasin, south borneo","banjarmasin","indonesia",-3.31987,114.59075,1
"banjarmasin,kalimantan selatan","banjarmasin","indonesia",-3.31987,114.59075,1
"banjarmasin,south borneo","banjarmasin","indonesia",-3.31987,114.59075,1
"banten","","",,,1
"bantul - yogyakarta","","",,,1
"bantul, yogyakarta, id","bantul","indonesia",-7.88806,110.32889,1
"bantul,indonesia","bantul","indonesia",-7.88806,110.32889,1
"banyuwangi-surabaya","banyuwangi","indonesia",-8.2325,114.35755,1
"barbados","barbados","barbados",13.193887,-59.543198,1
"barcelona","barcelona","venezuela",10.13333,-64.7,1
"barcelona - manlleu - madrid","barcelona","venezuela",10.13333,-64.7,1
"barcelona, spain","barcelona","venezuela",10.13333,-64.7,1
"barcelona, spain.","barcelona","venezuela",10.13333,-64.7,1
"barcelona-espaÌ±a","barcelona","venezuela",10.13333,-64.7,1
"barnsley, england/ aberystwyth","barnsley","united kingdom",53.55,-1.48333,1
"barra da tijuca rio de janeiro","","",,,1
"barretos-brasil","barretos","brazil",-20.55722,-48.56778,1
"barrie","barrie","canada",44.40011,-79.66634,1
"barrie , ont , canada","barrie","canada",44.40011,-79.66634,1
"barrie ontario","","",,,1
"barrie, ontario","barrie","canada",44.40011,-79.66634,1
"barrie, ontario, canada","barrie","canada",44.40011,-79.66634,1
"barry,wales,uk","barry","united kingdom",51.39979,-3.2838,1
"based in brasÌ?lia","","",,,1
"based in dorset but uk wide!","","",,,1
"basking ridge, nj","","",,,1
"basque country","","",,,1
"basta doon lang sa kanto","","",,,1
"batam - surakarta","","",,,1
"batam, indonesia","bata","equatorial guinea",1.86391,9.76582,1
"batangas city, batangas ph","batangas","philippines",13.7567,121.0584,1
"batangas city, philippines","batangas","philippines",13.7567,121.0584,1
"batangas,philippines","batangas","philippines",13.7567,121.0584,1
"bath, uk","bath","united kingdom",51.3751,-2.36172,1
"bathurst,new brunswick, canada","bathurst","australia",-33.41665,149.5806,1
"battlefield","","",,,1
"batu, east java - indonesia","batu","indonesia",-7.87,112.52833,1
"batu, malang","batu","indonesia",-7.87,112.52833,1
"batulicin, kalimantan selatan","","",,,1
"bay area","","",,,1
"bay area, ca","","",,,1
"bay area, ca & toronto, canada","canada","canada",56.130366,-106.346771,1
"bay roberts, nl canada","","",,,1
"bc","","",,,1
"bc's southeastern corner","","",,,1
"bc, ab, sk","","",,,1
"bc, alberta and ontario.","","",,,1
